	Oui/vie/saine	Oui/personne/saine	Oui/peau/saine	Oui/nourriture/saine	Oui/chair/saine	Oui/écorces/saines	Oui/dents/saines	Oui/bouche/saine	Oui/jambe/saine	Oui/feuilles/saines	Non/colère/saine	Oui/bretelles/fines	Oui/peau/fine	Oui/couche/fine	Oui/robe/fine	Oui/lames/fines	Oui/feuilles/fines	Oui/moustaches/fines	Oui/laine/fine	Oui/tissu/fin	Oui/matelas/fin	Non/observateur/fin	Oui/marquise/belle	Oui/princesse/belle	Oui/chevaux/beaux	Oui/violon/beau	Oui/baron/beau	Oui/fleurs/belles	Oui/maison/belle	Oui/visage/beau	Oui/pantalon/beau	Oui/bateau/beau	Non/couple/beau	Oui/salle/grande	Oui/arbres/grands	Oui/escalier/grand	Oui/supermarché/grand	Oui/chapiteau/grand	Oui/écurie/grande	Oui/chapeau/grand	Oui/couteau/grand	Oui/îles/grandes	Oui/panneaux/grands	Non/journaliste/grand	Oui/lèvres/brillantes	Oui/veine/brillante	Oui/épées/brillantes	Oui/boule/brillante	Oui/constellations/brillantes	Oui/tissu/brillant	Oui/cuirasse/brillante	Oui/sphère/brillante	Oui/halo/brillant	Oui/pièces/brillantes	Non/idée/brillante	Oui/éclats/brillants	Oui/dents/brillantes	Oui/lunettes/brillantes	Oui/chaussures/brillantes	Oui/cristaux/brillants	Oui/lame/brillante	Oui/lune/brillante	Oui/métal/brillant	Oui/anneau/brillant	Oui/aiguilles/brillantes	Non/élève/brillant	Oui/moustache/fine	Oui/membrane/fine	Oui/sandales/fines	Oui/pattes/fines	Oui/lunettes/fines	Oui/bandes/fines	Oui/mouchoir/fin	Oui/collier/fin	Oui/cigarettes/fines	Oui/stylet/fin	Non/ouïe/fine	Oui/cadres/grands	Oui/lévrier/grand	Oui/nef/grande	Oui/portefeuille/grand	Oui/figurines/grandes	Oui/salon/grand	Oui/fenêtres/grandes	Oui/carnets/grands	Oui/mains/grandes	Oui/arc/grand	Non/chanteur/grand	Oui/salon/beau	Oui/garçon/beau	Oui/robe/belle	Oui/bracelet/beau	Oui/sièges/beaux	Oui/feuillages/beaux	Oui/cathédrale/belle	Oui/seins/beaux	Oui/table/belle	Oui/chapeau/beau	Non/temps/beau	Oui/père/bon	Oui/élèves/bons	Oui/mère/bonne	Oui/nageur/bon	Oui/tireur/bon	Oui/étudiants/bons	Oui/professeure/bonne	Oui/commandant/bon	Oui/jardinier/bon	Oui/comédienne/bonne	Non/douche/bonne
Oui/vie/saine	1.0	0.5637204647064209	0.506010115146637	0.37068450450897217	0.5843710899353027	0.21448417007923126	0.38269659876823425	0.26848363876342773	0.5032823085784912	0.43260854482650757	0.2146572470664978	0.12130232900381088	0.3412999212741852	-0.07066229730844498	0.14475592970848083	0.08405206352472305	0.03593286871910095	-0.018837900832295418	-0.10429301112890244	0.1553555727005005	0.022505005821585655	-0.15232734382152557	-0.19455486536026	-0.11415725201368332	-0.12402345985174179	-0.22360867261886597	-0.09015493094921112	0.06397300958633423	0.17397500574588776	0.09448681771755219	-0.07566697895526886	0.11378081142902374	-0.052248500287532806	0.024608246982097626	-0.2039615362882614	-0.1027669832110405	-0.13910843431949615	-0.21905972063541412	-0.13623234629631042	-0.16924701631069183	-0.11398155242204666	-0.0917670875787735	-0.12273110449314117	-0.09282991290092468	0.21525117754936218	0.2343020737171173	0.09636043757200241	0.26452314853668213	0.24288250505924225	0.16954761743545532	0.17526988685131073	0.24644310772418976	0.06398184597492218	0.09371443837881088	0.25816503167152405	0.09391827881336212	0.22885958850383759	0.10281629860401154	0.27205684781074524	0.1031390056014061	0.2066381573677063	0.09567037224769592	0.23339127004146576	0.054802004247903824	0.06191845238208771	0.04042947664856911	-0.05453205481171608	0.06646432727575302	-0.20134691894054413	0.017253831028938293	-0.11075641214847565	0.006515606306493282	-0.024522434920072556	0.04015697166323662	0.04208286106586456	-0.07405698299407959	-0.0007221585256047547	-0.19123756885528564	-0.09045718610286713	-0.17453956604003906	-0.1573905348777771	-0.02920606918632984	-0.2323613464832306	-0.19700399041175842	-0.1879412829875946	0.059187132865190506	-0.10160835087299347	-0.15915833413600922	-0.015804113820195198	-0.1164078414440155	0.024983864277601242	-0.15351468324661255	-0.01935676299035549	0.07043799012899399	-0.05766720697283745	-0.222597137093544	0.10841129720211029	-0.05810923874378204	-0.01971854455769062	-0.08646225184202194	-0.1433536261320114	0.021148163825273514	-0.24175004661083221	-0.14935968816280365	-0.13921844959259033	-0.167139932513237	-0.11284279823303223	-0.04980555176734924	-0.046965960413217545	-0.14171209931373596	
Oui/personne/saine	0.5637204647064209	1.0	0.510726273059845	0.37019211053848267	0.4601719379425049	0.3178005814552307	0.43666940927505493	0.3716406226158142	0.4571458101272583	0.32243409752845764	0.12349672615528107	0.16238847374916077	0.39834097027778625	0.03925314173102379	0.1599176675081253	0.2049385905265808	0.06855357438325882	0.04704028740525246	-0.06148092448711395	0.1241644099354744	-0.007328276988118887	-0.09321215003728867	-0.08445283770561218	0.003012936096638441	-0.06833253055810928	-0.18177147209644318	-0.07952646911144257	0.10832729190587997	0.1379416286945343	0.1008826494216919	0.056677546352148056	0.09849380701780319	0.08644657582044601	0.07749979943037033	-0.13420520722866058	-0.0385436974465847	-0.135405033826828	-0.24991391599178314	-0.19515006244182587	-0.08127344399690628	-0.11073432862758636	-0.07340837270021439	-0.1750718504190445	-0.13127021491527557	0.19958695769309998	0.13605153560638428	0.07863721251487732	0.24509654939174652	0.1778581142425537	0.18026725947856903	0.18640024960041046	0.20217880606651306	0.0792183130979538	0.12865155935287476	0.24089740216732025	0.01771058700978756	0.12970195710659027	0.12757721543312073	0.225700244307518	0.11732813715934753	0.33993303775787354	0.07430839538574219	0.22687408328056335	0.10647688806056976	0.14679625630378723	0.09615184366703033	0.08152832835912704	0.04200454428792	-0.0750066414475441	-0.03679757937788963	0.08404240757226944	0.037389662116765976	-0.12476839125156403	-0.06652003526687622	0.1645711362361908	-0.11151301860809326	-0.03050996921956539	-0.1420629471540451	-0.04764297977089882	-0.1377832144498825	-0.11781333386898041	-0.04755115136504173	-0.05062272027134895	-0.07328931987285614	-0.1695808619260788	-0.004281698260456324	-0.11767370253801346	-0.12946860492229462	0.011898188851773739	0.0018436642130836844	0.054639238864183426	-0.03416848182678223	-0.003491938579827547	0.05741281434893608	0.027346119284629822	-0.034270256757736206	0.1633346974849701	0.0043163001537323	-0.06101517751812935	-0.08620958775281906	-0.04545961320400238	-0.07189865410327911	-0.21846117079257965	-0.17166344821453094	-0.04443948343396187	-0.1668083518743515	-0.25467973947525024	-0.07978946715593338	-0.054625704884529114	-0.13314056396484375	
Oui/peau/saine	0.506010115146637	0.510726273059845	1.0	0.32886961102485657	0.5676224231719971	0.2288215458393097	0.4732362926006317	0.4078032970428467	0.4517073929309845	0.35536906123161316	0.1447058916091919	0.03757699951529503	0.7078955173492432	0.15951301157474518	0.21332725882530212	0.1766308844089508	0.056073401123285294	0.08316851407289505	-0.022904984652996063	0.22625203430652618	0.06026219204068184	-0.08831438422203064	-0.02751690335571766	-0.0022252609487622976	-0.09411822259426117	-0.13422933220863342	-0.11503685265779495	0.19321899116039276	0.15702125430107117	-0.010576182045042515	0.012356022372841835	0.08763589709997177	0.043594859540462494	0.1112058013677597	-0.06239303573966026	-0.04447519779205322	-0.11546099931001663	-0.13386951386928558	-0.04977662116289139	-0.07183146476745605	-0.12801948189735413	0.020584767684340477	0.09561330080032349	-0.05174204334616661	0.16323603689670563	0.19843243062496185	0.12334992736577988	0.36618772149086	0.1511908769607544	0.21509617567062378	0.3061119019985199	0.15286040306091309	0.192083939909935	0.06837386637926102	0.15835687518119812	0.15479932725429535	0.3130339980125427	0.08920804411172867	0.20659595727920532	0.19786480069160461	0.3374392092227936	0.12511330842971802	0.17466123402118683	0.14805670082569122	0.1424691081047058	0.04970533773303032	-0.029828617349267006	0.1448444426059723	-0.10667287558317184	-0.08096501976251602	-0.05026072636246681	0.04207238927483559	0.07063598930835724	0.055510006844997406	0.17457447946071625	-0.11873134970664978	-0.11551741510629654	-0.0352105088531971	0.04511145129799843	-0.04628967121243477	-0.04934977367520332	0.10110024362802505	-0.16241885721683502	-0.0671544298529625	-0.026346584782004356	0.1321311742067337	-0.07535013556480408	-0.09525477141141891	-0.026598282158374786	-0.07614263892173767	0.08001892268657684	0.0008978183032013476	-0.046849574893713	0.16441497206687927	0.20697173476219177	-0.05525287240743637	0.04717916250228882	-0.0864580050110817	-0.08142738789319992	-0.12583447992801666	-0.1470545530319214	-0.01613469235599041	-0.16962930560112	-0.10598776489496231	-0.14268414676189423	-0.022679438814520836	-0.12376679480075836	-0.0668431967496872	-0.16365975141525269	-0.039410922676324844	
Oui/nourriture/saine	0.37068450450897217	0.37019211053848267	0.32886961102485657	1.0	0.339557945728302	0.3218940794467926	0.3752094805240631	0.29397842288017273	0.5025948286056519	0.3931241035461426	0.24089083075523376	0.1419149488210678	0.27788522839546204	-0.06537024676799774	0.17794053256511688	0.16117341816425323	0.15878406167030334	0.055618882179260254	0.09398169070482254	0.1144898310303688	-0.06951736658811569	-0.0515928752720356	0.005934384651482105	0.023968620225787163	0.09224577248096466	0.11003581434488297	0.11416075378656387	0.21931400895118713	0.08435405790805817	0.2385353296995163	0.06759443134069443	0.05383613705635071	0.09695740044116974	0.008791930042207241	-0.17077738046646118	-0.04640906676650047	0.005799437873065472	-0.15242379903793335	0.001869742525741458	-0.07751312851905823	-0.1854797601699829	0.027223067358136177	-0.12133319675922394	-0.1422721892595291	0.15290993452072144	0.09688073396682739	0.1622539609670639	0.10994628816843033	0.09053332358598709	0.09046225994825363	-0.007026079576462507	0.2636670768260956	-0.0024771466851234436	-0.002442682161927223	0.20811614394187927	-0.014425624161958694	0.1150471568107605	0.040514227002859116	0.12254124134778976	0.013312781229615211	0.2327481061220169	-0.0021761672105640173	0.08505166321992874	-0.0050382912158966064	0.016219306737184525	0.117373988032341	0.1277446448802948	0.12300466746091843	0.035512201488018036	-0.015870891511440277	0.09524229913949966	0.08789639919996262	-0.006503667216747999	-0.020756585523486137	0.22955377399921417	0.1420588195323944	0.010791841894388199	-0.18047098815441132	-0.011564717628061771	-0.001950917299836874	-0.033339012414216995	-0.05942482501268387	0.02105451188981533	-0.16974222660064697	-0.23610717058181763	-0.11514658480882645	-0.048074766993522644	-0.07304249703884125	0.2935938239097595	0.17549189925193787	0.13292917609214783	0.017230849713087082	0.0848374143242836	0.12845973670482635	0.08748809248209	0.09443316608667374	0.3467600345611572	0.134946808218956	0.0730353370308876	0.14216384291648865	0.16532287001609802	-0.04587080329656601	-0.026957033202052116	0.0015334079507738352	0.2017321139574051	-0.012129342183470726	0.027841396629810333	0.00457745511084795	0.20386360585689545	0.11337263882160187	
Oui/chair/saine	0.5843710899353027	0.4601719379425049	0.5676224231719971	0.339557945728302	1.0	0.17803430557250977	0.3702966868877411	0.2680407762527466	0.5859968662261963	0.41666650772094727	0.24126163125038147	0.04287450388073921	0.39130210876464844	-0.08826444298028946	0.06149371713399887	0.03303945064544678	-0.006071367766708136	-0.07047775387763977	-0.17652451992034912	0.22278457880020142	0.058908820152282715	-0.2894529700279236	-0.14943720400333405	-0.051832061260938644	-0.10489724576473236	-0.17425107955932617	-0.1779574155807495	0.13584472239017487	0.14591388404369354	-0.010152922011911869	-0.0822080448269844	0.14374978840351105	0.017746856436133385	0.07749684154987335	-0.1678956151008606	-0.1603061705827713	-0.10960914939641953	-0.07073231041431427	-0.05073278769850731	-0.18613985180854797	-0.10729978233575821	-0.04705285280942917	0.04331286996603012	-0.02037082053720951	0.1553298681974411	0.2584816813468933	0.10272196680307388	0.3217603266239166	0.17028401792049408	0.2906075716018677	0.25727254152297974	0.2753117084503174	0.16595473885536194	0.17572319507598877	0.19939450919628143	0.2050248086452484	0.25590524077415466	0.09093878418207169	0.2995576858520508	0.2960894703865051	0.23464833199977875	0.19715449213981628	0.3888852894306183	0.10950177907943726	0.2361479252576828	0.039686884731054306	-0.14247512817382812	0.040045566856861115	-0.26602911949157715	-0.028767645359039307	-0.2424762099981308	-0.061772026121616364	-0.1283748745918274	-0.13133615255355835	0.11091019958257675	-0.12459447234869003	-0.06598696857690811	-0.09994708746671677	0.09583808481693268	-0.06536752730607986	-0.015339733101427555	0.034613050520420074	-0.2910003960132599	-0.14907649159431458	-0.12398169934749603	0.0918831080198288	-0.0203635785728693	-0.09434949606657028	-0.12256629765033722	-0.11716744303703308	0.11339804530143738	-0.07454604655504227	-0.07214007526636124	0.12820979952812195	0.09641192108392715	-0.17029765248298645	-0.006021467503160238	-0.1895517259836197	-0.18545953929424286	-0.1528259664773941	-0.21365830302238464	-0.03309608995914459	-0.24610279500484467	-0.08093971014022827	-0.2756572663784027	-0.10419586300849915	-0.06813047081232071	-0.1456514298915863	-0.11979162693023682	-0.18750885128974915	
Oui/écorces/saines	0.21448417007923126	0.3178005814552307	0.2288215458393097	0.3218940794467926	0.17803430557250977	1.0	0.4176459014415741	0.23218338191509247	0.3434414565563202	0.404987096786499	0.23962941765785217	0.13894468545913696	0.14321306347846985	-0.04689842462539673	0.02675357274711132	0.19237931072711945	0.07683251798152924	0.1638619750738144	-0.07888875156641006	0.05082053691148758	0.02257617563009262	0.034653663635253906	0.027878284454345703	0.15296559035778046	0.061326976865530014	0.10722911357879639	0.10802572965621948	0.260353147983551	0.026778385043144226	0.09885754436254501	0.02135339193046093	-0.012845364399254322	0.06548582017421722	-0.012802758254110813	-0.010177097283303738	0.040637072175741196	-0.05651388689875603	-0.10799605399370193	-0.059687983244657516	-0.003018538933247328	-0.028703054413199425	0.06062617897987366	-0.10964685678482056	-0.07564490288496017	0.18808110058307648	-0.010217759758234024	0.31751692295074463	0.055871084332466125	0.2655959129333496	0.05994072183966637	0.06735233962535858	0.13964501023292542	0.06080220639705658	0.12128038704395294	0.14214201271533966	0.08803658932447433	0.1585008054971695	0.11729399859905243	0.14209337532520294	0.02366490289568901	0.23259122669696808	0.06342072039842606	0.015331276692450047	0.07427721470594406	0.14672838151454926	0.08264220505952835	0.0958542674779892	-0.013838399201631546	0.08087874203920364	-0.08962859958410263	0.19364428520202637	0.026116246357560158	0.014359545893967152	-0.0006666833651252091	0.2678965926170349	0.06757382303476334	-0.026963213458657265	-0.13705149292945862	-0.03524664044380188	-0.07263251394033432	-0.045762352645397186	-0.05433861166238785	0.005779243540018797	-0.062461718916893005	-0.137562558054924	-0.10967571288347244	-0.04167128726840019	-0.07493244856595993	0.140739306807518	0.11332843452692032	0.11490678787231445	0.02399245835840702	0.06647244095802307	0.21646176278591156	0.04404842481017113	0.15166255831718445	0.18147143721580505	0.2129652351140976	0.0002078760153381154	0.135956808924675	0.17738503217697144	0.056015852838754654	0.022299321368336678	0.05776643753051758	0.1791081726551056	0.07929852604866028	0.018905898556113243	0.08076075464487076	0.07225880026817322	0.13674287497997284	
Oui/dents/saines	0.38269659876823425	0.43666940927505493	0.4732362926006317	0.3752094805240631	0.3702966868877411	0.4176459014415741	1.0	0.40913626551628113	0.438455194234848	0.38149595260620117	0.1831972450017929	0.10689520835876465	0.39378318190574646	0.07098155468702316	0.2713492810726166	0.2647801637649536	0.194233238697052	0.29149097204208374	0.016248011961579323	0.12191269546747208	0.07378631830215454	-0.0304380115121603	0.02627616934478283	0.09296916425228119	-0.006391474045813084	0.00248564500361681	0.06831692904233932	0.19580738246440887	0.06703940778970718	0.11389579623937607	0.001155288191512227	-0.015336716547608376	-0.01835061050951481	0.06319374591112137	-0.08187822997570038	0.025447070598602295	-0.09628154337406158	-0.08813437074422836	-0.02626006491482258	-0.037818435579538345	-0.08379492163658142	0.0739770159125328	-0.047671444714069366	-0.18201886117458344	0.29417091608047485	-0.020591970533132553	0.2602844536304474	0.05514920502901077	0.24664531648159027	0.05689666420221329	0.19638918340206146	0.08817477524280548	0.12385430932044983	0.11963686347007751	0.08882059901952744	0.1729096919298172	0.5379078984260559	0.07700798660516739	0.2810349464416504	0.1357947736978531	0.3143354058265686	0.09571724385023117	0.11079631000757217	0.0659741461277008	0.17746828496456146	0.020486021414399147	0.19791154563426971	0.1342911422252655	0.03265738487243652	-0.1331588476896286	0.2232220619916916	0.09958548098802567	0.053940363228321075	0.08292552828788757	0.3776473104953766	0.023270703852176666	0.09135895222425461	-0.13637052476406097	0.04381422698497772	-0.10458950698375702	-0.05817517265677452	0.0072878156788647175	-0.013977901078760624	-0.09211943298578262	-0.06432883441448212	0.09072533249855042	-0.05325305834412575	-0.18153099715709686	0.0852288007736206	0.019032571464776993	0.1465853452682495	-0.01667921245098114	-0.03119601681828499	0.2591899335384369	0.13413244485855103	0.01938173733651638	0.19281645119190216	0.07983732223510742	0.019070886075496674	0.02427016571164131	0.07101421803236008	0.10980232805013657	-0.14771489799022675	-0.07586663961410522	0.010761959478259087	-0.021072546020150185	-0.009858855977654457	-0.016588501632213593	0.016211045905947685	0.16330157220363617	
Oui/bouche/saine	0.26848363876342773	0.3716406226158142	0.4078032970428467	0.29397842288017273	0.2680407762527466	0.23218338191509247	0.40913626551628113	1.0	0.3087180256843567	0.19057682156562805	0.1416512280702591	0.12435753643512726	0.30015528202056885	0.12917765974998474	0.14738121628761292	0.1996290385723114	0.13215483725070953	0.1783752590417862	-0.011262713931500912	0.0012847189791500568	0.043783947825431824	-0.07530999928712845	0.010222585871815681	0.005164952017366886	-0.019660377874970436	-0.09552933275699615	-0.10527049005031586	0.11602603644132614	0.0291494932025671	0.0475110225379467	0.04826551303267479	0.001384397386573255	0.01597367599606514	0.13421271741390228	-0.02763519249856472	-0.011647604405879974	-0.1592227816581726	-0.14949069917201996	-0.08219941705465317	0.027496790513396263	-0.03059856779873371	-0.008906237781047821	0.004320871084928513	-0.09188411384820938	0.2988007962703705	0.11835544556379318	0.12397876381874084	0.1913854032754898	0.1437368392944336	0.10010110586881638	0.2635110020637512	0.1766691654920578	0.19480346143245697	0.15192647278308868	0.1608026772737503	0.04272284358739853	0.31316930055618286	0.13754168152809143	0.1770443171262741	0.13316303491592407	0.27884992957115173	0.12515011429786682	0.12783828377723694	0.11710888147354126	0.10813944786787033	-0.004064527805894613	0.09915384650230408	0.02484354004263878	0.011823877692222595	-0.08983884751796722	0.14347496628761292	0.09948696941137314	0.08196167647838593	0.005424460396170616	0.280134379863739	-0.14431700110435486	0.04603172093629837	-0.038027919828891754	0.05675850063562393	-0.11902718991041183	-0.015614167787134647	0.012284379452466965	-0.00668190885335207	-0.0074873557314276695	0.004289069678634405	0.007371590007096529	-0.1434519737958908	-0.10391658544540405	0.019872091710567474	-0.010825274512171745	0.10271809995174408	0.08354277908802032	-0.062251027673482895	0.1814916580915451	0.18318134546279907	0.07431213557720184	0.15460015833377838	0.06874705106019974	-0.09755143523216248	-0.03925887495279312	0.0015117739094421268	0.007215945050120354	-0.19024167954921722	-0.033597927540540695	-0.020757507532835007	-0.11681762337684631	-0.14677312970161438	-0.13383692502975464	-0.04716227948665619	0.058575499802827835	
Oui/jambe/saine	0.5032823085784912	0.4571458101272583	0.4517073929309845	0.5025948286056519	0.5859968662261963	0.3434414565563202	0.438455194234848	0.3087180256843567	1.0	0.5186049938201904	0.30675262212753296	0.001061462564393878	0.3049352467060089	-0.06866852939128876	0.10342397540807724	0.08510275930166245	0.1105772852897644	-0.029020534828305244	-0.08315466344356537	0.12057627737522125	-0.05067475885152817	-0.1769217848777771	-0.012883583083748817	0.01741120032966137	0.006654298398643732	0.0441618487238884	0.0488826185464859	0.2627401351928711	0.12416308373212814	0.09483149647712708	0.05582168325781822	0.07415954023599625	0.06986109167337418	0.04500499367713928	-0.17926731705665588	-0.0766107589006424	-0.09728152304887772	-0.11507845669984818	-0.02472219616174698	-0.16575287282466888	-0.218789204955101	0.022673577070236206	-0.019989121705293655	-0.08138792216777802	0.18940800428390503	0.25804609060287476	0.20711255073547363	0.31338775157928467	0.2214910387992859	0.1549498438835144	0.1584281325340271	0.24498271942138672	0.12331682443618774	0.21126052737236023	0.27202096581459045	0.1330733448266983	0.2694011330604553	0.14163731038570404	0.2783721685409546	0.2964555025100708	0.29110991954803467	0.2110728919506073	0.2347167283296585	0.16477909684181213	0.21995222568511963	0.1366332471370697	-0.04248253256082535	0.01464992668479681	-0.1348857432603836	-0.005099103320389986	-0.07924744486808777	-0.03869639337062836	-0.08807660639286041	-0.14397494494915009	0.15343470871448517	-0.02972481958568096	-0.020630881190299988	-0.0986059159040451	0.060111138969659805	-0.04993707686662674	-0.06612328439950943	-0.019975706934928894	-0.1585746705532074	-0.07947694510221481	-0.19839610159397125	0.02518358640372753	-0.0830153226852417	-0.09002013504505157	0.026154352352023125	-0.0004099697689525783	0.2081412971019745	0.05544481426477432	0.03395404294133186	0.21008606255054474	0.13085825741291046	-0.03897160291671753	0.19913673400878906	-0.011262347921729088	-0.058807261288166046	-0.09330529719591141	-0.003968662116676569	-0.13162338733673096	-0.1097210943698883	-0.026662398129701614	-0.1047728955745697	-0.00761864148080349	-0.036763958632946014	-0.07779709994792938	-0.010233095847070217	0.000900126586202532	
Oui/feuilles/saines	0.43260854482650757	0.32243409752845764	0.35536906123161316	0.3931241035461426	0.41666650772094727	0.404987096786499	0.38149595260620117	0.19057682156562805	0.5186049938201904	1.0	0.2554858922958374	-0.03377504274249077	0.16261935234069824	-0.15032806992530823	0.09969305992126465	0.09562619030475616	0.26585566997528076	0.02615181915462017	-0.12858974933624268	0.16874605417251587	0.04319784790277481	-0.2064487338066101	0.0017140156123787165	0.0070509337820112705	-0.08258350193500519	-0.010330003686249256	0.009194236248731613	0.30598825216293335	0.12210144847631454	0.18251769244670868	0.04566819220781326	0.07402319461107254	0.032937318086624146	0.07558152824640274	-0.1926921308040619	-0.11394999176263809	-0.0465276800096035	-0.11845562607049942	-0.06376943737268448	-0.06526580452919006	-0.21319276094436646	0.02459818683564663	-0.04219837486743927	-0.015348759479820728	0.23839442431926727	0.17105630040168762	0.1738799512386322	0.3549487888813019	0.21947495639324188	0.24599166214466095	0.17568616569042206	0.23291996121406555	0.15749914944171906	0.1658255159854889	0.18551494181156158	0.18582072854042053	0.22232605516910553	0.20249325037002563	0.28553497791290283	0.27128249406814575	0.22246578335762024	0.12734529376029968	0.2534905970096588	0.13371211290359497	0.19951209425926208	0.15978479385375977	-0.027178948745131493	0.06237085163593292	-0.09954782575368881	-0.07776398211717606	-0.07678500562906265	-0.07772307097911835	-0.09687358886003494	-0.1481267660856247	0.11471778899431229	0.03759527578949928	-0.08654829114675522	-0.12720948457717896	0.06219186261296272	-0.10811496526002884	-0.06281326711177826	-0.018859850242733955	-0.15023185312747955	-0.08918485790491104	-0.20164763927459717	0.01901700533926487	-0.09993842989206314	-0.06501732021570206	0.0692870169878006	-0.005446561146527529	0.19050365686416626	0.05093986913561821	0.0631934329867363	0.32616356015205383	0.07580779492855072	-0.09200305491685867	0.19481591880321503	0.0831606388092041	-0.023369252681732178	-0.06911186873912811	0.031382836401462555	-0.08540932834148407	-0.18998263776302338	-0.04337393492460251	-0.0663679912686348	-0.06491582095623016	-0.08631005883216858	0.026577502489089966	0.0833984911441803	0.014433309435844421	
